setting,sensitivity_seed_index,sensitivity_seed,n,selected_gpi_mean,selected_gpi_sd,selected_gpi_ci95,selected_gpi_median,selected_gpi_q05,selected_gpi_q95,selected_synthetic_utility_mean,selected_synthetic_utility_sd,selected_synthetic_utility_ci95,selected_synthetic_utility_median,selected_synthetic_utility_q05,selected_synthetic_utility_q95,selected_traceability_mean,selected_traceability_sd,selected_traceability_ci95,selected_traceability_median,selected_traceability_q05,selected_traceability_q95,selected_controllability_mean,selected_controllability_sd,selected_controllability_ci95,selected_controllability_median,selected_controllability_q05,selected_controllability_q95,cognitive_load_mean,cognitive_load_sd,cognitive_load_ci95,cognitive_load_median,cognitive_load_q05,cognitive_load_q95,low_reliability_verified_claim_proportion_mean,low_reliability_verified_claim_proportion_sd,low_reliability_verified_claim_proportion_ci95,low_reliability_verified_claim_proportion_median,low_reliability_verified_claim_proportion_q05,low_reliability_verified_claim_proportion_q95,non_verified_linked_claim_ratio_mean,non_verified_linked_claim_ratio_sd,non_verified_linked_claim_ratio_ci95,non_verified_linked_claim_ratio_median,non_verified_linked_claim_ratio_q05,non_verified_linked_claim_ratio_q95,selected_risk_penalty_mean,selected_risk_penalty_sd,selected_risk_penalty_ci95,selected_risk_penalty_median,selected_risk_penalty_q05,selected_risk_penalty_q95
strict_gate,17,20263502,500,0.648780,0.032452,0.002845,0.650385,0.590992,0.700297,0.628239,0.063918,0.005603,0.630015,0.518543,0.727866,0.692294,0.085216,0.007470,0.693000,0.548000,0.827500,0.873247,0.008555,0.000750,0.872864,0.859454,0.886990,0.723454,0.092230,0.008084,0.724641,0.574552,0.870989,0.104976,0.070685,0.006196,0.096774,0.000000,0.230769,0.454781,0.110665,0.009700,0.450000,0.285714,0.636364,0.524489,0.146776,0.012865,0.507949,0.319600,0.803640
low_evidence,18,20263539,500,0.648004,0.033145,0.002905,0.647464,0.594274,0.706401,0.629768,0.063067,0.005528,0.632677,0.516680,0.727866,0.706878,0.091604,0.008029,0.708800,0.551579,0.850000,0.840507,0.020229,0.001773,0.838005,0.810954,0.870136,0.716208,0.090634,0.007944,0.714638,0.566676,0.858389,0.158751,0.080462,0.007053,0.153846,0.038462,0.300000,0.410705,0.113618,0.009959,0.409091,0.235294,0.600000,0.516769,0.150300,0.013174,0.495456,0.314106,0.784371
selected,18,20263539,500,0.641490,0.032825,0.002877,0.641764,0.587014,0.696065,0.629810,0.064990,0.005697,0.634838,0.505701,0.727866,0.687207,0.090838,0.007962,0.688276,0.536522,0.846364,0.840748,0.020216,0.001772,0.837898,0.812442,0.870703,0.723081,0.091728,0.008040,0.722602,0.570768,0.865156,0.100459,0.071022,0.006225,0.090909,0.000000,0.222222,0.458762,0.115401,0.010115,0.461538,0.260870,0.645161,0.520808,0.145813,0.012781,0.503100,0.319116,0.786626
high_evidence,18,20263539,500,0.634356,0.032368,0.002837,0.636373,0.579645,0.685610,0.631437,0.062292,0.005460,0.634791,0.523564,0.727866,0.662669,0.087777,0.007694,0.661212,0.524000,0.806667,0.841035,0.020677,0.001812,0.837802,0.811485,0.873106,0.733064,0.091964,0.008061,0.729161,0.588122,0.876866,0.103142,0.072644,0.006368,0.090909,0.000000,0.250000,0.520915,0.108785,0.009535,0.521739,0.333333,0.702703,0.527912,0.143641,0.012591,0.506572,0.333461,0.793294
low_critique_rate,18,20263539,500,0.635254,0.033031,0.002895,0.635076,0.580905,0.689916,0.629198,0.064344,0.005640,0.633939,0.506642,0.726779,0.687844,0.092576,0.008115,0.689412,0.535294,0.852143,0.840748,0.020216,0.001772,0.837898,0.812442,0.870703,0.705254,0.090851,0.007963,0.704282,0.550853,0.849161,0.100370,0.070926,0.006217,0.090909,0.000000,0.222222,0.456472,0.117519,0.010301,0.458333,0.250000,0.647059,0.525009,0.145793,0.012779,0.508517,0.323188,0.789664
high_critique_rate,18,20263539,500,0.644308,0.032442,0.002844,0.645412,0.589224,0.698595,0.629952,0.064207,0.005628,0.634791,0.514725,0.726965,0.687273,0.090602,0.007942,0.688276,0.536522,0.846364,0.840748,0.020216,0.001772,0.837898,0.812442,0.870703,0.730683,0.093639,0.008208,0.732086,0.573952,0.877515,0.100096,0.069305,0.006075,0.090909,0.000000,0.217391,0.458442,0.114124,0.010003,0.464286,0.260870,0.640000,0.520262,0.146462,0.012838,0.503100,0.320135,0.790035
strict_gate,18,20263539,500,0.648051,0.032951,0.002888,0.647581,0.591020,0.702945,0.629810,0.064990,0.005697,0.634838,0.505701,0.727866,0.687207,0.090838,0.007962,0.688276,0.536522,0.846364,0.873338,0.008595,0.000753,0.873337,0.859753,0.887825,0.723081,0.091728,0.008040,0.722602,0.570768,0.865156,0.100459,0.071022,0.006225,0.090909,0.000000,0.222222,0.458762,0.115401,0.010115,0.461538,0.260870,0.645161,0.520376,0.145831,0.012783,0.501785,0.317940,0.786626
low_evidence,19,20263576,500,0.650250,0.033726,0.002956,0.649896,0.594001,0.703520,0.630411,0.063525,0.005568,0.634291,0.518543,0.727880,0.713195,0.088754,0.007780,0.709655,0.573636,0.851765,0.841038,0.020502,0.001797,0.837351,0.811080,0.871997,0.715793,0.090747,0.007954,0.710805,0.566984,0.860674,0.159248,0.084597,0.007415,0.153846,0.038462,0.296296,0.402943,0.114352,0.010023,0.400000,0.222222,0.600000,0.512874,0.147909,0.012965,0.491550,0.313198,0.780143
selected,19,20263576,500,0.642855,0.033535,0.002939,0.640494,0.587175,0.700064,0.630028,0.065353,0.005728,0.634791,0.514725,0.727880,0.691385,0.085993,0.007538,0.691429,0.557647,0.835385,0.841210,0.020610,0.001807,0.837563,0.810629,0.872060,0.723344,0.093412,0.008188,0.728288,0.568260,0.868060,0.101787,0.066676,0.005844,0.096774,0.000000,0.217391,0.456657,0.113107,0.009914,0.454545,0.266667,0.625000,0.524249,0.143548,0.012583,0.506474,0.324309,0.788223
high_evidence,19,20263576,500,0.634364,0.033974,0.002978,0.635159,0.578117,0.689231,0.628864,0.065130,0.005709,0.632383,0.515394,0.729808,0.667686,0.083920,0.007356,0.665000,0.527692,0.804444,0.840553,0.020379,0.001786,0.837295,0.810952,0.870979,0.732600,0.092830,0.008137,0.738630,0.585107,0.877712,0.103965,0.072169,0.006326,0.090909,0.000000,0.235294,0.515768,0.111305,0.009756,0.515152,0.333333,0.692308,0.543623,0.149944,0.013143,0.524236,0.336402,0.808356
low_critique_rate,19,20263576,500,0.636775,0.034345,0.003010,0.635308,0.582854,0.694300,0.628811,0.066625,0.005840,0.634539,0.511659,0.727880,0.693118,0.085732,0.007515,0.693333,0.557647,0.835385,0.841210,0.020610,0.001807,0.837563,0.810629,0.872060,0.706355,0.090956,0.007973,0.706782,0.560384,0.846746,0.103018,0.067065,0.005878,0.100000,0.000000,0.218750,0.454132,0.113530,0.009951,0.454545,0.260870,0.621622,0.529038,0.145278,0.012734,0.512100,0.327556,0.790437
high_critique_rate,19,20263576,500,0.645464,0.033251,0.002915,0.644160,0.594414,0.700545,0.629677,0.065361,0.005729,0.634539,0.514725,0.727880,0.692145,0.085793,0.007520,0.693333,0.557647,0.835385,0.841210,0.020610,0.001807,0.837563,0.810629,0.872060,0.730627,0.094153,0.008253,0.736412,0.579663,0.874754,0.101489,0.066865,0.005861,0.096774,0.000000,0.217391,0.455886,0.113076,0.009912,0.454545,0.260870,0.625000,0.522761,0.144772,0.012690,0.502954,0.323467,0.790437
strict_gate,19,20263576,500,0.649406,0.033634,0.002948,0.648494,0.594722,0.707293,0.630028,0.065353,0.005728,0.634791,0.514725,0.727880,0.691385,0.085993,0.007538,0.691429,0.557647,0.835385,0.873800,0.009088,0.000797,0.874154,0.858529,0.888238,0.723344,0.093412,0.008188,0.728288,0.568260,0.868060,0.101787,0.066676,0.005844,0.096774,0.000000,0.217391,0.456657,0.113107,0.009914,0.454545,0.266667,0.625000,0.523913,0.143552,0.012583,0.506058,0.324309,0.788223
low_evidence,20,20263613,500,0.649935,0.035089,0.003076,0.649781,0.591187,0.707830,0.630739,0.064889,0.005688,0.634291,0.515492,0.729808,0.712663,0.094175,0.008255,0.715882,0.551613,0.857273,0.840714,0.020845,0.001827,0.836226,0.809800,0.872580,0.714567,0.093049,0.008156,0.711744,0.564373,0.854739,0.160716,0.082585,0.007239,0.150000,0.034483,0.300000,0.402555,0.116918,0.010248,0.406250,0.212121,0.588235,0.508270,0.146936,0.012880,0.484630,0.309346,0.792063
selected,20,20263613,500,0.640604,0.034093,0.002988,0.640383,0.586489,0.696603,0.628826,0.064941,0.005692,0.632758,0.513894,0.727880,0.686427,0.088187,0.007730,0.684828,0.539091,0.821667,0.840755,0.020495,0.001796,0.836245,0.811295,0.872619,0.722744,0.092881,0.008141,0.721835,0.575436,0.868100,0.104439,0.071776,0.006291,0.095238,0.000000,0.230769,0.460816,0.113623,0.009960,0.454545,0.281250,0.652174,0.526197,0.148937,0.013055,0.505876,0.322234,0.792247
high_evidence,20,20263613,500,0.633678,0.031981,0.002803,0.633045,0.582640,0.684444,0.629311,0.063234,0.005543,0.633480,0.523854,0.727866,0.664367,0.087522,0.007672,0.664000,0.518400,0.805455,0.840900,0.020517,0.001798,0.836277,0.810847,0.871368,0.731892,0.092627,0.008119,0.728899,0.582349,0.877958,0.102211,0.067223,0.005892,0.093750,0.000000,0.222222,0.516986,0.113202,0.009923,0.520000,0.333333,0.696970,0.528625,0.146277,0.012822,0.508602,0.328005,0.795256
low_critique_rate,20,20263613,500,0.634506,0.034739,0.003045,0.635781,0.580961,0.690806,0.628652,0.064908,0.005689,0.632677,0.514725,0.729808,0.686766,0.088715,0.007776,0.686000,0.539091,0.821667,0.840755,0.020495,0.001796,0.836245,0.811295,0.872619,0.705413,0.090630,0.007944,0.702184,0.560912,0.848638,0.103582,0.071401,0.006259,0.095238,0.000000,0.230769,0.459902,0.113907,0.009984,0.454545,0.277778,0.652174,0.528792,0.148786,0.013042,0.506448,0.327124,0.794446
high_critique_rate,20,20263613,500,0.643414,0.034033,0.002983,0.644466,0.588805,0.698556,0.629754,0.064266,0.005633,0.632770,0.518543,0.729808,0.684550,0.087878,0.007703,0.683478,0.539091,0.821667,0.840755,0.020495,0.001796,0.836245,0.811295,0.872619,0.730914,0.093525,0.008198,0.729168,0.579904,0.876117,0.103316,0.071042,0.006227,0.095238,0.000000,0.230769,0.462365,0.113484,0.009947,0.458333,0.285714,0.652174,0.523410,0.146499,0.012841,0.504781,0.321745,0.786446
strict_gate,20,20263613,500,0.647173,0.034124,0.002991,0.648252,0.592873,0.701977,0.628826,0.064941,0.005692,0.632758,0.513894,0.727880,0.686427,0.088187,0.007730,0.684828,0.539091,0.821667,0.873345,0.009099,0.000798,0.872880,0.858782,0.889531,0.722744,0.092881,0.008141,0.721835,0.575436,0.868100,0.104439,0.071776,0.006291,0.095238,0.000000,0.230769,0.460816,0.113623,0.009960,0.454545,0.281250,0.652174,0.525685,0.148957,0.013057,0.505876,0.322234,0.789037
